id;Город;Тематика - группа;Тематика;Наименование;Короткое наименование;Род деятельности;Основной телефон;classic;min;max;vip;min;max;auto;min;max;travel;min;max;home;min;max;shopping;min;max;health;min;max;Район;Адрес;Телефон;Время работы;www;email;Описание
396;НОВОСИБИРСК;Авто;Автомагазины;Автоцентр «7 ключей»;7 ключей;автоцентр;;"5% - скидка на химчистку и полировку кузова (все материалы включены)
10% на все услуги по ТО
20% - скидка на мойку
30% на диагностику";5.00;30.00;"10% - скидка на химчистку и полировку кузова (все материалы включены)
10% комплексная скидка на ТО
20% - скидка на мойку
50% на диагностику";10.00;50.00;;;;;;;;;;;;;;;;Октябрьский;ул. Кирова, 116;(383) 266-29-46, 266-34-84, Факс:(383) 266-29-46, 266-34-84;09.00 - 21.00 ежедневно.;www.7keys.biz;7keys@ngs.ru;Техническое обслуживание и ремонт легковых автомобилей, микроавтобусов и легких грузовиков. Экспресс замена масла, спец. жидкостей, эксплутационных и расходных материалов. Развал-схождение на ПК, автоэлектрика, промывка инжекторов, замена узлов и агрегатов, диагностика и ремонт электронных систем. Автомойка. Кузовной ремонт, окраска в камере.Консультации по вопросам обслуживания и эксплуатации автомобилей.
134;НОВОСИБИРСК;Авто;Автомагазины;Сеть шинных центров «Vianor»;Vianor;сеть шинных центров;;4% - на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;4.00;4.00;6%  -  на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;6.00;6.00;5%  -  на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;5.00;5.00;;;;;;;;;;;;;Дзержинский;пр-т Дзержинского, 20а;(383) 279-70-00, 279-70-01, 212-51-00 единая справочная.;10.00 - 20.00, 10.00 - 18.00 в субботу, 10.00 - 16.00 в воскресенье.;www.kolesnitsa.sib.ru, www.vianor.sib.ru;info@kolesnitsa.sib.ru;Автошины и диски ведущих производителей. Аккумуляторы, автомасла, автохимия. Грузовой, легковой шиномонтаж. Замена масла. Развал-схождение. Сезонное хранение шин. Накачка шин азотом. Заправка автокондиционеров. Кредит. Дисконтные карты.
134;НОВОСИБИРСК;Авто;Автомагазины;Сеть шинных центров «Vianor»;Vianor;сеть шинных центров;;4% - на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;4.00;4.00;6%  -  на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;6.00;6.00;5%  -  на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;5.00;5.00;;;;;;;;;;;;;Железнодорожный;ул. Фабричная, 16;(383) 223-14-32,  212-51-00 единая справочная.;10.00 - 20.00, 10.00 - 18.00 в субботу, 10.00 - 16.00 в воскресенье.;www.kolesnitsa.sib.ru, www.vianor.sib.ru;info@kolesnitsa.sib.ru;Автошины и диски ведущих производителей. Аккумуляторы, автомасла, автохимия. Грузовой, легковой шиномонтаж. Замена масла. Развал-схождение. Сезонное хранение шин. Накачка шин азотом. Заправка автокондиционеров. Кредит. Дисконтные карты.
134;НОВОСИБИРСК;Авто;Автомагазины;Сеть шинных центров «Vianor»;Vianor;сеть шинных центров;;4% - на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;4.00;4.00;6%  -  на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;6.00;6.00;5%  -  на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;5.00;5.00;;;;;;;;;;;;;Ленинский;ул. Немировича-Данченко, 163;(383) 346-42-77, 359-92-31, 212-51-00 единая справочная.;10.00 - 20.00, 10.00 - 18.00 в субботу, 10.00 - 16.00 в воскресенье.;www.kolesnitsa.sib.ru, www.vianor.sib.ru;info@kolesnitsa.sib.ru;Автошины и диски ведущих производителей. Аккумуляторы, автомасла, автохимия. Грузовой, легковой шиномонтаж. Замена масла. Развал-схождение. Сезонное хранение шин. Накачка шин азотом. Заправка автокондиционеров. Кредит. Дисконтные карты.
134;НОВОСИБИРСК;Авто;Автомагазины;Сеть шинных центров «Vianor»;Vianor;сеть шинных центров;;4% - на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;4.00;4.00;6%  -  на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;6.00;6.00;5%  -  на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;5.00;5.00;;;;;;;;;;;;;Ленинский;ул. Малыгина, 13/1;(383) 356-52-82,  212-51-00 единая справочная.;08.00 - 20.00, 10.00 - 18.00 в субботу, 10.00 - 16.00 в воскресенье.;www.kolesnitsa.sib.ru, www.vianor.sib.ru;info@kolesnitsa.sib.ru;Автошины и диски ведущих производителей. Аккумуляторы, автомасла, автохимия. Грузовой, легковой шиномонтаж. Замена масла. Развал-схождение. Сезонное хранение шин. Накачка шин азотом. Заправка автокондиционеров. Кредит. Дисконтные карты.
134;НОВОСИБИРСК;Авто;Автомагазины;Сеть шинных центров «Vianor»;Vianor;сеть шинных центров;;4% - на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;4.00;4.00;6%  -  на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;6.00;6.00;5%  -  на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;5.00;5.00;;;;;;;;;;;;;Ленинский;ул. Станционная, 62/3 (фирменный магазин GOODYEAR);(383) 3-600-000,  212-51-00 единая справочная.;09.00 - 20.00, 10.00 - 18.00 в субботу, 10.00 - 16.00 в воскресенье.;www.kolesnitsa.sib.ru, www.vianor.sib.ru;info@kolesnitsa.sib.ru;Автошины и диски ведущих производителей. Аккумуляторы, автомасла, автохимия. Грузовой, легковой шиномонтаж. Замена масла. Развал-схождение. Сезонное хранение шин. Накачка шин азотом. Заправка автокондиционеров. Кредит. Дисконтные карты.
134;НОВОСИБИРСК;Авто;Автомагазины;Сеть шинных центров «Vianor»;Vianor;сеть шинных центров;;4% - на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;4.00;4.00;6%  -  на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;6.00;6.00;5%  -  на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;5.00;5.00;;;;;;;;;;;;;Октябрьский;ул. Большевистская, 75 (Шинный центр «ПРЕМИО»);(383) 257-18-44,  212-51-00 единая справочная.;10.00 - 20.00, 10.00 - 18.00 в субботу, 10.00 - 16.00 в воскресенье.;www.kolesnitsa.sib.ru, www.vianor.sib.ru;info@kolesnitsa.sib.ru;Автошины и диски ведущих производителей. Аккумуляторы, автомасла, автохимия. Грузовой, легковой шиномонтаж. Замена масла. Развал-схождение. Сезонное хранение шин. Накачка шин азотом. Заправка автокондиционеров. Кредит. Дисконтные карты.
134;НОВОСИБИРСК;Авто;Автомагазины;Сеть шинных центров «Vianor»;Vianor;сеть шинных центров;;4% - на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;4.00;4.00;6%  -  на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;6.00;6.00;5%  -  на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;5.00;5.00;;;;;;;;;;;;;Октябрьский;ул. Большевистская, 243;(383)335-88-30, 2-125-100 - единая справочная.;10.00 - 20.00, 10.00 - 18.00 в субботу, 10.00 - 16.00 в воскресенье.;www.kolesnitsa.sib.ru, www.vianor.sib.ru;info@kolesnitsa.sib.ru;Автошины и диски ведущих производителей. Аккумуляторы, автомасла, автохимия. Грузовой, легковой шиномонтаж. Замена масла. Развал-схождение. Сезонное хранение шин. Накачка шин азотом. Заправка автокондиционеров. Кредит. Дисконтные карты.
134;НОВОСИБИРСК;Авто;Автомагазины;Сеть шинных центров «Vianor»;Vianor;сеть шинных центров;;4% - на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;4.00;4.00;6%  -  на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;6.00;6.00;5%  -  на шины (кроме грузовых),  диски, аккумуляторы, автомасла, автохимия.;5.00;5.00;;;;;;;;;;;;;Советский;ул. Русская, 39;(383) 333-77-38,  212-51-00 единая справочная.;10.00 - 20.00, 10.00 - 18.00 в субботу, 10.00 - 16.00 в воскресенье.;www.kolesnitsa.sib.ru, www.vianor.sib.ru;info@kolesnitsa.sib.ru;Автошины и диски ведущих производителей. Аккумуляторы, автомасла, автохимия. Грузовой, легковой шиномонтаж. Замена масла. Развал-схождение. Сезонное хранение шин. Накачка шин азотом. Заправка автокондиционеров. Кредит. Дисконтные карты.
1461;НОВОСИБИРСК;Авто;Автомагазины;Сеть магазинов «Запаска»;Запаска;сеть магазинов;;3%, кроме грузовых;3.00;3.00;5%, кроме грузовых;5.00;5.00;5%, кроме грузовых;5.00;5.00;;;;;;;;;;;;;Дзержинский;ул. Красина, 54;(383) 363-02-76;09.00 - 20.00, 10.00 - 17.00  в выходные и праздники.;www.sibzapaska.ru;zapaska.nsk@mail.ru;Автошины импортные и отечественные, на грузовые, легковые, сельхоз и спецтехнику. Диски литые и штампованные. Аккумуляторы и автокамеры. Оптом и в розницу.
